C,Density=2.2,
"Energy(eV),","Delta,",Beta
1000,0.00048155,4.81E-05
1006.83929,0.000474937,4.69E-05
1013.7254,0.000468415,4.57E-05
1020.65863,0.000461983,4.46E-05
1027.63916,0.000455641,4.34E-05
1034.66748,0.000449386,4.23E-05
1041.7439,0.000443217,4.12E-05
1048.86877,0.000437134,4.02E-05
1056.04236,0.000431124,3.92E-05
1063.26489,0.000425198,3.81E-05
1070.53687,0.000419348,3.72E-05
1077.85852,0.000413576,3.62E-05
1085.23035,0.000407883,3.53E-05
1092.65271,0.000402265,3.44E-05
1100.12561,0.000396725,3.35E-05
1107.64966,0.000391258,3.26E-05
1115.22534,0.000385866,3.18E-05
1122.85266,0.000380547,3.10E-05
1130.5321,0.0003753,3.02E-05
1138.26428,0.000370125,2.94E-05
1146.04919,0.000365021,2.86E-05
1153.88745,0.000359986,2.79E-05
1161.77917,0.00035502,2.72E-05
1169.72498,0.000350122,2.65E-05
1177.7251,0.000345292,2.58E-05
1185.77979,0.000340528,2.51E-05
1193.88977,0.000335829,2.45E-05
1202.05518,0.000331195,2.39E-05
1210.27637,0.000326626,2.32E-05
1218.55383,0.000322119,2.27E-05
1226.88794,0.000317675,2.21E-05
1235.27893,0.000313292,2.15E-05
1243.72742,0.000308971,2.09E-05
1252.23364,0.000304709,2.04E-05
1260.7981,0.000300506,1.99E-05
1269.42114,0.00029636,1.94E-05
1278.10303,0.00029227,1.89E-05
1286.84436,0.000288235,1.84E-05
1295.64551,0.000284256,1.79E-05
1304.50684,0.00028033,1.74E-05
1313.42871,0.000276458,1.70E-05
1322.41162,0.000272639,1.65E-05
1331.45605,0.000268872,1.61E-05
1340.56238,0.000265158,1.57E-05
1349.73083,0.000261494,1.53E-05
1358.96204,0.000257881,1.49E-05
1368.25647,0.000254318,1.45E-05
1377.61438,0.000250804,1.41E-05
1387.03625,0.000247338,1.37E-05
1396.52258,0.00024392,1.34E-05
1406.07397,0.000240549,1.30E-05
1415.69043,0.000237226,1.27E-05
1425.3728,0.000233948,1.23E-05
1435.12146,0.000230715,1.20E-05
1444.93665,0.000227527,1.17E-05
1454.81897,0.000224384,1.14E-05
1464.76892,0.000221284,1.11E-05
1474.78687,0.000218228,1.08E-05
1484.87341,0.000215213,1.05E-05
1495.02893,0.00021224,1.03E-05
1505.25391,0.000209309,9.99E-06
1515.54883,0.000206418,9.73E-06
1525.91406,0.000203567,9.47E-06
1536.35034,0.000200755,9.22E-06
1546.85791,0.000197982,8.98E-06
1557.43726,0.000195247,8.75E-06
1568.08911,0.00019255,8.52E-06
1578.81384,0.000189891,8.29E-06
1589.61182,0.000187268,8.08E-06
1600.48364,0.000184682,7.86E-06
1611.42981,0.000182131,7.66E-06
1622.45081,0.000179616,7.46E-06
1633.54736,0.000177136,7.26E-06
1644.71973,0.00017469,7.07E-06
1655.96838,0.000172279,6.88E-06
1667.29419,0.0001699,6.70E-06
1678.69727,0.000167555,6.53E-06
1690.17834,0.000165242,6.36E-06
1701.73804,0.000162962,6.19E-06
1713.37671,0.000160713,6.03E-06
1725.09509,0.000158496,5.87E-06
1736.89355,0.000156309,5.71E-06
1748.77258,0.000154153,5.56E-06
1760.73303,0.000152027,5.42E-06
1772.77527,0.00014993,5.27E-06
1784.89978,0.000147862,5.13E-06
1797.10718,0.000145822,5.00E-06
1809.39832,0.000143811,4.87E-06
1821.77332,0.000141828,4.74E-06
1834.23291,0.000139872,4.61E-06
1846.77783,0.000137943,4.49E-06
1859.40845,0.000136041,4.37E-06
1872.12561,0.000134165,4.25E-06
1884.92969,0.000132315,4.14E-06
1897.82117,0.000130491,4.03E-06
1910.80103,0.000128693,3.93E-06
1923.86963,0.000126919,3.82E-06
1937.02759,0.00012517,3.72E-06
1950.27539,0.000123445,3.62E-06
1963.61401,0.000121744,3.53E-06
1977.0437,0.000120066,3.43E-06
1990.56543,0.000118412,3.34E-06
2004.17944,0.000116781,3.25E-06
2017.8866,0.000115173,3.17E-06
2031.6875,0.000113587,3.09E-06
2045.58301,0.000112023,3.00E-06
2059.57349,0.000110481,2.92E-06
2073.65942,0.00010896,2.85E-06
2087.8418,0.00010746,2.77E-06
2102.12109,0.000105981,2.70E-06
2116.49829,0.000104523,2.62E-06
2130.97363,0.000103084,2.56E-06
2145.5481,0.000101666,2.49E-06
2160.22217,0.000100267,2.42E-06
2174.99634,9.89E-05,2.36E-06
2189.87207,9.75E-05,2.29E-06
2204.84912,9.62E-05,2.23E-06
2219.92871,9.49E-05,2.17E-06
2235.11157,9.36E-05,2.12E-06
2250.39819,9.23E-05,2.06E-06
2265.78931,9.10E-05,2.00E-06
2281.28564,8.98E-05,1.95E-06
2296.88818,8.85E-05,1.90E-06
2312.59717,8.73E-05,1.85E-06
2328.41406,8.61E-05,1.80E-06
2344.33862,8.49E-05,1.75E-06
2360.37231,8.38E-05,1.70E-06
2376.51562,8.26E-05,1.66E-06
2392.76929,8.15E-05,1.61E-06
2409.13403,8.03E-05,1.57E-06
2425.61108,7.92E-05,1.53E-06
2442.20068,7.82E-05,1.49E-06
2458.90356,7.71E-05,1.45E-06
2475.7207,7.60E-05,1.41E-06
2492.65283,7.50E-05,1.37E-06
2509.70093,7.39E-05,1.34E-06
2526.86548,7.29E-05,1.30E-06
2544.14746,7.19E-05,1.27E-06
2561.54785,7.09E-05,1.23E-06
2579.06689,7.00E-05,1.20E-06
2596.70605,6.90E-05,1.17E-06
2614.46582,6.81E-05,1.13E-06
2632.34692,6.71E-05,1.10E-06
2650.35034,6.62E-05,1.07E-06
2668.47681,6.53E-05,1.05E-06
2686.72754,6.44E-05,1.02E-06
2705.10278,6.35E-05,9.91E-07
2723.60376,6.27E-05,9.64E-07
2742.23145,6.18E-05,9.38E-07
2760.98633,6.09E-05,9.13E-07
2779.86963,6.01E-05,8.88E-07
2798.88208,5.93E-05,8.65E-07
2818.02441,5.85E-05,8.41E-07
2837.29761,5.77E-05,8.19E-07
2856.70288,5.69E-05,7.97E-07
2876.24072,5.61E-05,7.75E-07
2895.91211,5.53E-05,7.54E-07
2915.71826,5.46E-05,7.34E-07
2935.65991,5.38E-05,7.14E-07
2955.73755,5.31E-05,6.95E-07
2975.95288,5.24E-05,6.76E-07
2996.3064,5.16E-05,6.58E-07
3016.79907,5.09E-05,6.40E-07
3037.43164,5.02E-05,6.23E-07
3058.20581,4.96E-05,6.06E-07
3079.12183,4.89E-05,5.90E-07
3100.18091,4.82E-05,5.74E-07
3121.38379,4.75E-05,5.59E-07
3142.73218,4.69E-05,5.43E-07
3164.22607,4.63E-05,5.29E-07
3185.86719,4.56E-05,5.14E-07
3207.65649,4.50E-05,5.01E-07
3229.59448,4.44E-05,4.87E-07
3251.68286,4.38E-05,4.74E-07
3273.92188,4.32E-05,4.61E-07
3296.31323,4.26E-05,4.49E-07
3318.85791,4.20E-05,4.36E-07
3341.55664,4.14E-05,4.25E-07
3364.4104,4.09E-05,4.13E-07
3387.42065,4.03E-05,4.02E-07
3410.58838,3.98E-05,3.91E-07
3433.91431,3.92E-05,3.80E-07
3457.40015,3.87E-05,3.70E-07
3481.04614,3.81E-05,3.60E-07
3504.85425,3.76E-05,3.50E-07
3528.82495,3.71E-05,3.41E-07
3552.95972,3.66E-05,3.31E-07
3577.25952,3.61E-05,3.22E-07
3601.72559,3.56E-05,3.14E-07
3626.35864,3.51E-05,3.05E-07
3651.1604,3.46E-05,2.97E-07
3676.13208,3.42E-05,2.89E-07
3701.27417,3.37E-05,2.81E-07
3726.58813,3.32E-05,2.73E-07
3752.07568,3.28E-05,2.66E-07
3777.73706,3.23E-05,2.59E-07
3803.57422,3.19E-05,2.52E-07
3829.58813,3.15E-05,2.45E-07
3855.77979,3.10E-05,2.38E-07
3882.15088,3.06E-05,2.31E-07
3908.7019,3.02E-05,2.25E-07
3935.43481,2.98E-05,2.19E-07
3962.35034,2.94E-05,2.13E-07
3989.4502,2.90E-05,2.07E-07
4016.73511,2.86E-05,2.02E-07
4044.20703,2.82E-05,1.96E-07
4071.86646,2.78E-05,1.91E-07
4099.71533,2.74E-05,1.85E-07
4127.75488,2.70E-05,1.80E-07
4155.98535,2.67E-05,1.75E-07
4184.40967,2.63E-05,1.71E-07
4213.02783,2.60E-05,1.66E-07
4241.84229,2.56E-05,1.61E-07
4270.85352,2.53E-05,1.57E-07
4300.06299,2.49E-05,1.53E-07
4329.47266,2.46E-05,1.49E-07
4359.08301,2.42E-05,1.44E-07
4388.89648,2.39E-05,1.40E-07
4418.91357,2.36E-05,1.37E-07
4449.13574,2.33E-05,1.33E-07
4479.56445,2.29E-05,1.29E-07
4510.20215,2.26E-05,1.26E-07
4541.04834,2.23E-05,1.22E-07
4572.10645,2.20E-05,1.19E-07
4603.37646,2.17E-05,1.16E-07
4634.85986,2.14E-05,1.12E-07
4666.55908,2.11E-05,1.09E-07
4698.47559,2.08E-05,1.06E-07
4730.60986,2.06E-05,1.03E-07
4762.96387,2.03E-05,1.01E-07
4795.53955,2.00E-05,9.78E-08
4828.3374,1.97E-05,9.51E-08
4861.35986,1.95E-05,9.25E-08
4894.60791,1.92E-05,8.99E-08
4928.08398,1.89E-05,8.75E-08
4961.78857,1.87E-05,8.50E-08
4995.72363,1.84E-05,8.27E-08
5029.89111,1.82E-05,8.04E-08
5064.29199,1.79E-05,7.82E-08
5098.92822,1.77E-05,7.61E-08
5133.80127,1.74E-05,7.40E-08
5168.91357,1.72E-05,7.19E-08
5204.26514,1.70E-05,6.99E-08
5239.8584,1.67E-05,6.80E-08
5275.69531,1.65E-05,6.61E-08
5311.77783,1.63E-05,6.43E-08
5348.10645,1.61E-05,6.25E-08
5384.68408,1.58E-05,6.08E-08
5421.51172,1.56E-05,5.91E-08
5458.59082,1.54E-05,5.75E-08
5495.92383,1.52E-05,5.59E-08
5533.51221,1.50E-05,5.44E-08
5571.35791,1.48E-05,5.29E-08
5609.46191,1.46E-05,5.14E-08
5647.82666,1.44E-05,5.00E-08
5686.45361,1.42E-05,4.86E-08
5725.34521,1.40E-05,4.72E-08
5764.50244,1.38E-05,4.59E-08
5803.92773,1.36E-05,4.47E-08
5843.62256,1.34E-05,4.34E-08
5883.58936,1.33E-05,4.22E-08
5923.82861,1.31E-05,4.11E-08
5964.34375,1.29E-05,3.99E-08
6005.13574,1.27E-05,3.88E-08
6046.20654,1.25E-05,3.77E-08
6087.55811,1.24E-05,3.67E-08
6129.19336,1.22E-05,3.57E-08
6171.1123,1.20E-05,3.47E-08
6213.31885,1.19E-05,3.37E-08
6255.81348,1.17E-05,3.28E-08
6298.59863,1.16E-05,3.19E-08
6341.67725,1.14E-05,3.10E-08
6385.0498,1.12E-05,3.01E-08
6428.71924,1.11E-05,2.93E-08
6472.68701,1.09E-05,2.85E-08
6516.95605,1.08E-05,2.77E-08
6561.52734,1.06E-05,2.69E-08
6606.40332,1.05E-05,2.62E-08
6651.58643,1.04E-05,2.55E-08
6697.0791,1.02E-05,2.48E-08
6742.88232,1.01E-05,2.41E-08
6788.99902,9.94E-06,2.34E-08
6835.43115,9.81E-06,2.28E-08
6882.18066,9.67E-06,2.21E-08
6929.25,9.54E-06,2.15E-08
6976.64111,9.41E-06,2.09E-08
7024.35693,9.29E-06,2.03E-08
7072.39844,9.16E-06,1.98E-08
7120.76904,9.03E-06,1.92E-08
7169.46973,8.91E-06,1.87E-08
7218.50439,8.79E-06,1.82E-08
7267.87354,8.67E-06,1.77E-08
7317.58105,8.55E-06,1.72E-08
7367.62793,8.44E-06,1.67E-08
7418.01807,8.32E-06,1.62E-08
7468.75195,8.21E-06,1.58E-08
7519.83301,8.10E-06,1.54E-08
7571.26318,7.99E-06,1.49E-08
7623.04541,7.88E-06,1.45E-08
7675.18164,7.77E-06,1.41E-08
7727.6748,7.67E-06,1.37E-08
7780.52686,7.56E-06,1.33E-08
7833.74023,7.46E-06,1.30E-08
7887.31787,7.36E-06,1.26E-08
7941.26123,7.26E-06,1.23E-08
7995.57422,7.16E-06,1.19E-08
8050.25879,7.06E-06,1.16E-08
8105.31641,6.97E-06,1.13E-08
8160.75146,6.87E-06,1.10E-08
8216.56543,6.78E-06,1.07E-08
8272.76074,6.69E-06,1.04E-08
8329.34082,6.60E-06,1.01E-08
8386.30762,6.51E-06,9.80E-09
8443.66406,6.42E-06,9.53E-09
8501.41309,6.33E-06,9.27E-09
8559.55664,6.25E-06,9.01E-09
8618.09863,6.16E-06,8.76E-09
8677.04004,6.08E-06,8.52E-09
8736.38574,5.99E-06,8.29E-09
8796.13574,5.91E-06,8.06E-09
8856.2959,5.83E-06,7.83E-09
8916.86621,5.75E-06,7.62E-09
8977.85156,5.68E-06,7.41E-09
9039.25391,5.60E-06,7.20E-09
9101.07617,5.52E-06,7.01E-09
9163.32129,5.45E-06,6.81E-09
9225.99219,5.37E-06,6.63E-09
9289.09082,5.30E-06,6.44E-09
9352.62207,5.23E-06,6.27E-09
9416.58789,5.16E-06,6.10E-09
9480.99023,5.09E-06,5.93E-09
9545.83496,5.02E-06,5.77E-09
9611.12109,4.95E-06,5.61E-09
9676.85449,4.88E-06,5.46E-09
9743.03711,4.82E-06,5.31E-09
9809.67285,4.75E-06,5.16E-09
9876.76465,4.69E-06,5.02E-09
9944.31543,4.62E-06,4.88E-09
10012.3271,4.56E-06,4.75E-09
10080.8047,4.50E-06,4.62E-09
10149.75,4.44E-06,4.50E-09
10219.168,4.38E-06,4.37E-09
10289.0596,4.32E-06,4.25E-09
10359.4297,4.26E-06,4.14E-09
10430.2803,4.20E-06,4.03E-09
10501.6162,4.15E-06,3.92E-09
10573.4404,4.09E-06,3.81E-09
10645.7559,4.03E-06,3.71E-09
10718.5654,3.98E-06,3.61E-09
10791.873,3.92E-06,3.51E-09
10865.6816,3.87E-06,3.42E-09
10939.9961,3.82E-06,3.32E-09
11014.8174,3.77E-06,3.23E-09
11090.1504,3.72E-06,3.15E-09
11166,3.67E-06,3.06E-09
11242.3682,3.62E-06,2.98E-09
11319.2578,3.57E-06,2.90E-09
11396.6738,3.52E-06,2.82E-09
11474.6191,3.47E-06,2.75E-09
11553.0977,3.42E-06,2.68E-09
11632.1123,3.38E-06,2.60E-09
11711.6689,3.33E-06,2.54E-09
11791.7686,3.29E-06,2.47E-09
11872.416,3.24E-06,2.40E-09
11953.6152,3.20E-06,2.34E-09
12035.3701,3.15E-06,2.28E-09
12117.6836,3.11E-06,2.22E-09
12200.5596,3.07E-06,2.16E-09
12284.0029,3.03E-06,2.10E-09
12368.0176,2.99E-06,2.05E-09
12452.6064,2.95E-06,1.99E-09
12537.7734,2.91E-06,1.94E-09
12623.5225,2.87E-06,1.89E-09
12709.8594,2.83E-06,1.84E-09
12796.7852,2.79E-06,1.80E-09
12884.3066,2.75E-06,1.75E-09
12972.4268,2.71E-06,1.70E-09
13061.1484,2.68E-06,1.66E-09
13150.4785,2.64E-06,1.62E-09
13240.418,2.61E-06,1.58E-09
13330.9736,2.57E-06,1.54E-09
13422.1475,2.54E-06,1.50E-09
13513.9463,2.50E-06,1.46E-09
13606.373,2.47E-06,1.42E-09
13699.4307,2.43E-06,1.39E-09
13793.125,2.40E-06,1.35E-09
13887.4609,2.37E-06,1.32E-09
13982.4414,2.34E-06,1.29E-09
14078.0713,2.30E-06,1.25E-09
14174.3555,2.27E-06,1.22E-09
14271.2988,2.24E-06,1.19E-09
14368.9043,2.21E-06,1.16E-09
14467.1777,2.18E-06,1.13E-09
14566.123,2.15E-06,1.11E-09
14665.7461,2.12E-06,1.08E-09
14766.0498,2.09E-06,1.05E-09
14867.0391,2.07E-06,1.03E-09
14968.7188,2.04E-06,1.00E-09
15071.0947,2.01E-06,9.79E-10
15174.1709,1.98E-06,9.56E-10
15277.9512,1.96E-06,9.33E-10
15382.4414,1.93E-06,9.11E-10
15487.6475,1.90E-06,8.89E-10
15593.5713,1.88E-06,8.68E-10
15700.2207,1.85E-06,8.48E-10
15807.5996,1.83E-06,8.28E-10
15915.7129,1.80E-06,8.09E-10
16024.5645,1.78E-06,7.90E-10
16134.1631,1.75E-06,7.72E-10
16244.5088,1.73E-06,7.54E-10
16355.6104,1.71E-06,7.37E-10
16467.4727,1.68E-06,7.20E-10
16580.0977,1.66E-06,7.04E-10
16693.4922,1.64E-06,6.88E-10
16807.6641,1.62E-06,6.73E-10
16922.6191,1.59E-06,6.58E-10
17038.3574,1.57E-06,6.43E-10
17154.8887,1.55E-06,6.29E-10
17272.2148,1.53E-06,6.15E-10
17390.3457,1.51E-06,6.02E-10
17509.2832,1.49E-06,5.89E-10
17629.0352,1.47E-06,5.76E-10
17749.6055,1.45E-06,5.64E-10
17871,1.43E-06,5.52E-10
17993.2246,1.41E-06,5.40E-10
18116.2871,1.39E-06,5.29E-10
18240.1914,1.37E-06,5.18E-10
18364.9414,1.35E-06,5.07E-10
18490.543,1.34E-06,4.97E-10
18617.0059,1.32E-06,4.87E-10
18744.334,1.30E-06,4.77E-10
18872.5312,1.28E-06,4.67E-10
19001.6074,1.26E-06,4.58E-10
19131.5645,1.25E-06,4.49E-10
19262.4102,1.23E-06,4.40E-10
19394.1543,1.21E-06,4.31E-10
19526.7969,1.20E-06,4.23E-10
19660.3457,1.18E-06,4.15E-10
19794.8086,1.16E-06,4.07E-10
19930.1914,1.15E-06,4.00E-10
20066.5,1.13E-06,3.93E-10
20203.7402,1.12E-06,3.85E-10
20341.9199,1.10E-06,3.78E-10
20481.0449,1.09E-06,3.70E-10
20621.123,1.07E-06,3.63E-10
20762.1562,1.06E-06,3.57E-10
20904.1562,1.04E-06,3.50E-10
21047.125,1.03E-06,3.43E-10
21191.0723,1.02E-06,3.37E-10
21336.0039,1.00E-06,3.31E-10
21481.9277,9.89E-07,3.25E-10
21628.8496,9.76E-07,3.19E-10
21776.7754,9.62E-07,3.13E-10
21925.7148,9.49E-07,3.08E-10
22075.6699,9.37E-07,3.02E-10
22226.6543,9.24E-07,2.97E-10
22378.668,9.11E-07,2.92E-10
22531.7227,8.99E-07,2.87E-10
22685.8262,8.87E-07,2.82E-10
22840.9805,8.75E-07,2.77E-10
22997.1953,8.63E-07,2.73E-10
23154.4824,8.51E-07,2.68E-10
23312.8418,8.40E-07,2.64E-10
23472.2871,8.28E-07,2.60E-10
23632.8203,8.17E-07,2.55E-10
23794.4531,8.06E-07,2.51E-10
23957.1895,7.95E-07,2.47E-10
24121.041,7.84E-07,2.43E-10
24286.0117,7.74E-07,2.40E-10
24452.1094,7.63E-07,2.36E-10
24619.3457,7.53E-07,2.32E-10
24787.7246,7.43E-07,2.29E-10
24957.2559,7.33E-07,2.25E-10
25127.9473,7.23E-07,2.22E-10
25299.8047,7.13E-07,2.19E-10
25472.8379,7.03E-07,2.16E-10
25647.0547,6.94E-07,2.12E-10
25822.4629,6.84E-07,2.09E-10
25999.0703,6.75E-07,2.06E-10
26176.8848,6.66E-07,2.03E-10
26355.918,6.57E-07,2.01E-10
26536.1738,6.48E-07,1.98E-10
26717.6621,6.39E-07,1.95E-10
26900.3945,6.31E-07,1.93E-10
27084.373,6.22E-07,1.90E-10
27269.6113,6.14E-07,1.87E-10
27456.1172,6.05E-07,1.85E-10
27643.8984,5.97E-07,1.82E-10
27832.9648,5.89E-07,1.80E-10
28023.3203,5.81E-07,1.78E-10
28214.9805,5.73E-07,1.75E-10
28407.9531,5.65E-07,1.73E-10
28602.2441,5.58E-07,1.71E-10
28797.8633,5.50E-07,1.69E-10
28994.8223,5.43E-07,1.67E-10
29193.125,5.35E-07,1.65E-10
29392.7852,5.28E-07,1.63E-10
29593.8125,5.21E-07,1.61E-10
29796.2129,5.14E-07,1.59E-10
30000,5.07E-07,1.57E-10