Ni,Density=8.902,
"Energy(eV),","Delta,",Beta
250,0.016574513,0.008836755
255.253021,0.016042538,0.008369945
260.616455,0.015524044,0.007927767
266.092529,0.015020115,0.00750897
271.683716,0.014531684,0.00711228
277.392365,0.014060169,0.006736554
283.220978,0.013618626,0.006377428
289.172058,0.013189259,0.006010851
295.248169,0.01275467,0.005649211
301.451965,0.012318075,0.005309329
307.786102,0.01188808,0.004989894
314.253326,0.01146677,0.004689686
320.856476,0.01105476,0.004407529
327.598358,0.010653053,0.004142347
334.481903,0.010262408,0.003893131
341.510071,0.009882963,0.003658897
348.685913,0.00951473,0.003438766
356.012543,0.00915827,0.003231873
363.493134,0.008813935,0.003037429
371.13089,0.008483504,0.002853332
378.929138,0.008162119,0.002674023
386.891235,0.007847937,0.002504827
395.02066,0.00754184,0.002346343
403.320892,0.00724471,0.002197882
411.795532,0.006957047,0.002058812
420.448212,0.006678736,0.001928546
429.282715,0.006409418,0.00180652
438.302887,0.006149295,0.001692213
447.512543,0.0058982,0.001585143
456.915741,0.005655814,0.001484846
466.516479,0.005422083,0.001390897
476.319,0.005196948,0.001302891
486.327484,0.004980473,0.001220451
496.546265,0.004773459,0.001142594
506.979767,0.004574702,0.001065283
517.632507,0.004379504,0.000990671
528.509033,0.004188346,0.000921284
539.614136,0.004002859,0.000856757
550.952576,0.003823091,0.00079675
562.529236,0.003648753,0.000740945
574.349182,0.003479682,0.000689049
586.41748,0.003315859,0.000640788
598.73938,0.003156738,0.000595907
611.320129,0.003001103,0.00055496
624.165283,0.002851057,0.000519222
637.280334,0.002706906,0.000486136
650.670959,0.002567329,0.000455159
664.342957,0.002431777,0.000426155
678.302185,0.00229985,0.000399
692.554749,0.002170825,0.000373574
707.10675,0.002044467,0.000349769
721.9646,0.00192116,0.000324958
737.134644,0.001794746,0.000295022
752.623352,0.001655977,0.000269389
768.437622,0.001515346,0.000253183
784.584106,0.001367174,0.000237085
801.069885,0.001199254,0.000222749
817.9021,0.000989957,0.000209375
835.087952,0.000674255,0.000196806
852.634888,-0.0014363,0.000266293
870.550598,0.00069248,0.00138586
888.842712,0.000971168,0.001291711
907.519165,0.001101236,0.001203957
926.588074,0.001163878,0.001122471
946.057678,0.001193453,0.001047171
965.93634,0.001194998,0.000975882
986.232788,0.00117045,0.000926755
1006.95563,0.001155242,0.000923674
1028.11389,0.001197715,0.000896147
1049.71667,0.001205798,0.000835438
1071.77356,0.001197063,0.000778266
1094.2937,0.001181594,0.00072499
1117.28711,0.001161426,0.000675353
1140.76379,0.001137575,0.000629117
1164.73364,0.001111364,0.000586052
1189.20715,0.001083577,0.000545933
1214.19495,0.001054622,0.000508558
1239.70776,0.001024912,0.000473706
1265.75659,0.000994855,0.00044111
1292.35291,0.000964568,0.000410602
1319.50793,0.000934068,0.000382174
1347.23364,0.000903754,0.000355711
1375.54187,0.000873764,0.000331082
1404.44495,0.00084416,0.000308159
1433.95532,0.000815082,0.000286822
1464.08569,0.000786671,0.000266934
1494.84937,0.000758935,0.000248326
1526.25928,0.000731761,0.000230729
1558.32922,0.00070511,0.000214355
1591.073,0.000679114,0.000199143
1624.50476,0.000653776,0.000185007
1658.63916,0.000629165,0.000171874
1693.49072,0.0006053,0.000159676
1729.07446,0.000582202,0.000148337
1765.40601,0.000559838,0.000137717
1802.50098,0.000538159,0.00012783
1840.37537,0.000517173,0.000118646
1879.04565,0.000496874,0.000110121
1918.52832,0.000477277,0.000102209
1958.8407,0.000458367,9.49E-05
2000,0.000440131,8.81E-05