Pt,Density=21.45,
"Energy(eV),","Delta,",Beta
250,0.008888644,0.01311552
251.068527,0.008879517,0.013126846
252.141632,0.008841194,0.013078988
253.219299,0.008812383,0.013004673
254.301575,0.008754397,0.013006368
255.388504,0.008744223,0.012968505
256.480042,0.008726175,0.012952098
257.576263,0.008669645,0.012918284
258.677185,0.008656798,0.012877799
259.782776,0.008673175,0.012872255
260.893127,0.008650595,0.012779762
262.008209,0.008643081,0.012808397
263.128082,0.00863768,0.012747522
264.252686,0.008600776,0.012691864
265.382141,0.00863354,0.012640999
266.516418,0.0086359,0.012574501
267.655518,0.008627435,0.012524329
268.7995,0.008619703,0.012416188
269.948395,0.008588514,0.012343443
271.102203,0.008544875,0.012255946
272.260895,0.008500974,0.012181964
273.424561,0.008449778,0.012120826
274.593201,0.008409143,0.012067383
275.766846,0.008361048,0.012010974
276.945496,0.008313161,0.011954825
278.129181,0.008269084,0.011909671
279.317932,0.008225398,0.011865417
280.51181,0.00818229,0.011821323
281.710724,0.008177643,0.011776037
282.914795,0.008137295,0.011698075
284.123993,0.008109352,0.011658745
285.338379,0.008061066,0.011586424
286.557953,0.007982384,0.011550137
287.782684,0.007960029,0.011500256
289.012726,0.007933242,0.011490776
290.247986,0.007936681,0.01140647
291.488525,0.007880352,0.011381364
292.734375,0.007831498,0.011349976
293.985565,0.007817402,0.011287714
295.242096,0.007789102,0.011212458
296.503998,0.007733036,0.011161814
297.771271,0.007691703,0.011111016
299.043976,0.007649542,0.011061189
300.322113,0.007586713,0.011029085
301.605743,0.007550651,0.010987354
302.894836,0.007515687,0.010957108
304.189423,0.007481204,0.010924175
305.489563,0.007440716,0.010909783
306.795258,0.007375212,0.010851582
308.106537,0.007352844,0.010836026
309.423431,0.007330908,0.01081281
310.745911,0.007309076,0.010786098
312.074066,0.007287086,0.010759451
313.407928,0.007265089,0.010732878
314.747467,0.007242979,0.010706367
316.092712,0.007233323,0.010693892
317.443726,0.007228555,0.010668921
318.800507,0.007224241,0.010636468
320.163086,0.00721374,0.010589044
321.531494,0.007201777,0.010538874
322.905792,0.007192373,0.010497827
324.285889,0.007184227,0.010461948
325.671936,0.007175703,0.010426196
327.063873,0.007173659,0.010385802
328.461792,0.007173771,0.010343729
329.865662,0.007173357,0.010301823
331.275543,0.007169914,0.010246133
332.691467,0.007165406,0.010187347
334.113434,0.007160452,0.01012889
335.541443,0.007149491,0.010070784
336.975586,0.007129848,0.010005952
338.415863,0.007094705,0.009934112
339.862274,0.007063212,0.009883905
341.31488,0.007033138,0.009845054
342.773712,0.007004218,0.009815621
344.238739,0.006975285,0.009786282
345.710083,0.006960136,0.00975142
347.187683,0.006952929,0.009713335
348.67157,0.006945344,0.0096754
350.161835,0.006935108,0.009635052
351.658478,0.00693875,0.00960228
353.161499,0.006938654,0.009552689
354.670898,0.006937923,0.00950296
356.186829,0.006935294,0.009449647
357.709198,0.006932209,0.009396635
359.238098,0.00692869,0.009343924
360.773499,0.006924761,0.009291522
362.315491,0.006914899,0.009226613
363.864075,0.006903625,0.009159628
365.419281,0.006889291,0.009097484
366.981079,0.006866673,0.009048531
368.549622,0.006843942,0.008999839
370.124817,0.006824451,0.008951413
371.706787,0.006811388,0.008903245
373.295471,0.00679806,0.008855342
374.890991,0.006787805,0.008806906
376.493317,0.006781875,0.008757642
378.102478,0.00677556,0.008708657
379.718536,0.006769169,0.00865595
381.341492,0.00676271,0.008599571
382.971375,0.006755878,0.008543563
384.608246,0.006747138,0.008487911
386.252106,0.006735565,0.00843187
387.902985,0.006721925,0.008375247
389.560913,0.006708046,0.00831904
391.225922,0.006694931,0.008265164
392.898071,0.006681557,0.008211637
394.577362,0.006668536,0.008158228
396.263824,0.006660785,0.008103129
397.957489,0.00665269,0.008048401
399.658417,0.00664486,0.00799203
401.366577,0.006639455,0.007926974
403.082062,0.006633666,0.007862446
404.804871,0.006623605,0.007797204
406.535065,0.006602409,0.007729045
408.272614,0.006581092,0.007661481
410.017639,0.006557534,0.007596216
411.770111,0.006529888,0.00753473
413.53006,0.006502236,0.007473743
415.297516,0.006473461,0.007415039
417.07254,0.006443209,0.007359185
418.855133,0.006413002,0.007303752
420.645386,0.006384888,0.007251828
422.443237,0.006358759,0.007203254
424.24881,0.006332609,0.007155001
426.062103,0.006307777,0.007107477
427.883148,0.006283829,0.00706055
429.711945,0.00625983,0.007013932
431.548584,0.006238912,0.006968027
433.393066,0.006219413,0.00692262
435.245422,0.006199792,0.006877508
437.105713,0.006181436,0.006830064
438.973969,0.006163394,0.006782097
440.850159,0.00614521,0.006734469
442.734406,0.006126479,0.006684291
444.626678,0.006107547,0.006633927
446.5271,0.006088488,0.006583939
448.435577,0.006067375,0.006533858
450.352264,0.00604601,0.006484116
452.2771,0.006024567,0.006434751
454.210175,0.006001711,0.006386838
456.15152,0.005978812,0.006339282
458.101166,0.005956064,0.00629223
460.059113,0.005935513,0.006247209
462.025452,0.005914884,0.006202512
464.000183,0.005894808,0.00615813
465.983398,0.005877864,0.006114057
467.975037,0.00586365,0.00607365
469.97522,0.005845482,0.006023481
471.983948,0.005826904,0.00597317
474.001251,0.005815381,0.005920023
476.027191,0.005797494,0.005865952
478.061768,0.005783825,0.005818135
480.105042,0.00575697,0.005759431
482.157074,0.005730152,0.00570132
484.217865,0.005702727,0.005644207
486.287445,0.005669808,0.00559126
488.365875,0.005637036,0.005538812
490.453217,0.005603451,0.005489978
492.549469,0.005569576,0.005445001
494.654694,0.005536557,0.005400128
496.76889,0.0055037,0.005355624
498.89212,0.005467857,0.00530608
501.024414,0.005428206,0.005269637
503.165833,0.005388551,0.005232943
505.316437,0.005349015,0.005193396
507.476196,0.005306131,0.005158376
509.645233,0.005259341,0.005130345
511.823486,0.005208829,0.005109035
514.011108,0.005159879,0.005099601
516.208008,0.005124017,0.005114645
518.414307,0.005113841,0.005151919
520.630127,0.005131446,0.005143873
522.855347,0.00513751,0.005123406
525.090027,0.005151142,0.005125246
527.334351,0.005194365,0.005108496
529.588196,0.005234411,0.005048794
531.851746,0.005250751,0.004973607
534.124939,0.005247496,0.004895799
536.407837,0.005229484,0.004818568
538.7005,0.005201095,0.004768567
541.002991,0.005172448,0.004721851
543.315308,0.005144747,0.004680704
545.637451,0.005124995,0.004643652
547.969604,0.00511551,0.004608124
550.311646,0.005103345,0.004570945
552.663757,0.005099592,0.004524676
555.025879,0.005095873,0.004475303
557.398071,0.005089804,0.004416537
559.780457,0.005057221,0.00433959
562.173035,0.005021849,0.004287675
564.575867,0.004988906,0.004243267
566.988892,0.004953163,0.004196203
569.412231,0.004928526,0.004170063
571.845947,0.004904891,0.004125055
574.2901,0.004876446,0.004087712
576.74469,0.004850124,0.004057684
579.209717,0.004832783,0.004019176
581.685364,0.004802424,0.003979111
584.171509,0.004771155,0.003941136
586.668335,0.004744226,0.003906184
589.175842,0.004725072,0.003870329
591.69397,0.00469619,0.003832029
594.222961,0.004657537,0.003795909
596.762695,0.004648562,0.003765402
599.313354,0.00462164,0.003727995
601.874878,0.004593259,0.003702562
604.447388,0.004560212,0.003667312
607.030823,0.004533791,0.003644841
609.625366,0.004511054,0.003623227
612.230957,0.004489083,0.003604564
614.847656,0.00447649,0.003579407
617.475647,0.004470321,0.003554068
620.114746,0.004455845,0.003513874
622.765198,0.004442601,0.003474142
625.426941,0.004430423,0.003434093
628.100098,0.00440277,0.003398852
630.784607,0.004373952,0.0033682
633.480652,0.004347122,0.003336428
636.188293,0.004336326,0.003303339
638.907349,0.004325402,0.00327058
641.638184,0.004305894,0.003239074
644.380554,0.00428419,0.003208512
647.134705,0.004275011,0.003174058
649.900635,0.004265676,0.003139975
652.678345,0.004235614,0.003103574
655.468018,0.004200432,0.003072496
658.269531,0.004165543,0.003041729
661.083069,0.004145113,0.003014043
663.90863,0.004130451,0.002981707
666.746216,0.004107939,0.00295217
669.595947,0.004080762,0.002918394
672.457886,0.004059069,0.002887927
675.332031,0.004037449,0.002857779
678.218445,0.004014621,0.002827946
681.117249,0.003989803,0.002797964
684.028381,0.003964148,0.002770377
686.951965,0.003942796,0.002741617
689.888062,0.003921523,0.002713155
692.836792,0.00389671,0.002684992
695.797974,0.003873566,0.002659995
698.771912,0.003844595,0.002633391
701.758484,0.003815837,0.002607054
704.757935,0.00378473,0.002582445
707.770081,0.003767667,0.00258808
710.795227,0.003758781,0.002546792
713.833191,0.003733748,0.002517089
716.884216,0.003706388,0.002493612
719.948242,0.003679564,0.00247766
723.025391,0.003656403,0.002457333
726.115662,0.003637033,0.002435821
729.219116,0.003623231,0.002417519
732.335938,0.003609401,0.002399355
735.466003,0.003596014,0.002381328
738.609436,0.003580517,0.002359748
741.766357,0.003564457,0.00233472
744.936707,0.003549083,0.002308531
748.120667,0.003533712,0.002282636
751.318237,0.00351612,0.002257025
754.529419,0.003497783,0.002234362
757.754333,0.003482515,0.00221244
760.993042,0.003472071,0.002186043
764.245605,0.003446603,0.002162368
767.512085,0.003423896,0.002138746
770.792542,0.003411095,0.002111784
774.086975,0.003392919,0.002083116
777.395508,0.003374193,0.002056523
780.71814,0.003354639,0.002032743
784.054993,0.003335172,0.002009239
787.406128,0.003315481,0.001986007
790.771606,0.003295557,0.001963046
794.151428,0.00327573,0.00194035
797.545715,0.003255869,0.001917915
800.954529,0.003236006,0.001895737
804.377869,0.003216247,0.001873816
807.815857,0.00319644,0.001852152
811.268555,0.00317666,0.001830738
814.736023,0.003156984,0.001809572
818.218262,0.003137289,0.001788649
821.715393,0.003117655,0.001767966
825.227478,0.003098129,0.001747523
828.754578,0.003078603,0.001727317
832.296814,0.003059162,0.001707345
835.854126,0.003039828,0.001687604
839.426636,0.003020549,0.001667748
843.014404,0.003001372,0.001648085
846.617554,0.002982302,0.001628654
850.236145,0.002962939,0.001609378
853.870117,0.00294368,0.001590329
857.519653,0.002924521,0.001571506
861.184753,0.002905243,0.001552905
864.86554,0.002886082,0.001534523
868.562073,0.002867009,0.00151636
872.274414,0.00284789,0.001498413
876.002563,0.00282889,0.001480678
879.746704,0.002809972,0.001463153
883.506836,0.002791053,0.001445835
887.28302,0.002772253,0.001428721
891.075378,0.002753535,0.001411811
894.883911,0.002734853,0.001395099
898.70874,0.002716291,0.001378585
902.549927,0.00269782,0.001362267
906.407471,0.002679429,0.001346145
910.281616,0.002661155,0.001330212
914.172241,0.00264301,0.001314445
918.079468,0.002624995,0.001298839
922.003418,0.002607096,0.001283419
925.944153,0.002589243,0.00126795
929.901794,0.002571452,0.00125248
933.876282,0.002553776,0.001237199
937.867737,0.002536037,0.001222105
941.876282,0.002518313,0.001207196
945.901917,0.002500708,0.001192469
949.944824,0.002483052,0.00117792
954.005005,0.002465449,0.001163548
958.08252,0.002447966,0.001149353
962.177429,0.002430503,0.00113533
966.289856,0.002413135,0.00112148
970.419922,0.002395886,0.001107797
974.567566,0.002378657,0.001094282
978.733032,0.002361533,0.00108093
982.916199,0.002344529,0.001067742
987.11731,0.002327618,0.001054717
991.336365,0.002310825,0.00104185
995.573425,0.002294148,0.001029141
999.828552,0.002277575,0.001016586
1004.10199,0.002261116,0.001004185
1008.39355,0.002244766,0.000991912
1012.70355,0.002228473,0.000979626
1017.03192,0.002212295,0.000967493
1021.37885,0.002196206,0.000955447
1025.74426,0.002180133,0.000943311
1030.12842,0.002164175,0.000931328
1034.53137,0.002148249,0.000919497
1038.95312,0.002132236,0.000907815
1043.39355,0.00211634,0.000896282
1047.85327,0.002100496,0.000884894
1052.33179,0.002084662,0.000873652
1056.82959,0.002068945,0.000862552
1061.34656,0.002053281,0.000851594
1065.88293,0.002037656,0.000840777
1070.4386,0.00202215,0.000830097
1075.01379,0.002006695,0.000819551
1079.6084,0.001991303,0.00080914
1084.22278,0.001976026,0.00079886
1088.85693,0.001960797,0.000788711
1093.51074,0.00194564,0.000778692
1098.18457,0.0019306,0.0007688
1102.8783,0.001915605,0.000759033
1107.59216,0.001900695,0.000749391
1112.32617,0.0018859,0.00073987
1117.08032,0.001871146,0.00073047
1121.85474,0.001856487,0.000721188
1126.64978,0.001841942,0.000712024
1131.46509,0.001827434,0.00070298
1136.30115,0.001813028,0.000694051
1141.15771,0.001798735,0.000685235
1146.03516,0.001784477,0.00067653
1150.93347,0.001770325,0.000667936
1155.85266,0.001756285,0.000659452
1160.79297,0.00174228,0.000651073
1165.75427,0.001728386,0.000642801
1170.73682,0.001714596,0.000634634
1175.74072,0.00170085,0.000626573
1180.76587,0.001687215,0.000618615
1185.81262,0.001673676,0.000610757
1190.88086,0.001660192,0.000602996
1195.97095,0.001646816,0.000595333
1201.08264,0.001633531,0.000587768
1206.21606,0.001620309,0.000580302
1211.37158,0.001607194,0.000572931
1216.54919,0.001594166,0.000565653
1221.74878,0.001581212,0.000558467
1226.9707,0.001568362,0.000551372
1232.21484,0.001555607,0.000544367
1237.48145,0.001542941,0.000537451
1242.77051,0.001530378,0.000530622
1248.08228,0.001517899,0.00052383
1253.41675,0.001505504,0.000517079
1258.77393,0.001493212,0.000510414
1264.15405,0.001480943,0.000503798
1269.55725,0.001468723,0.000497243
1274.9834,0.001456605,0.000490773
1280.43286,0.001444521,0.000484387
1285.90564,0.001432507,0.000478085
1291.40161,0.001420593,0.000471864
1296.92126,0.001408704,0.000465725
1302.46436,0.001396891,0.000459665
1308.03137,0.001385176,0.000453683
1313.62183,0.001373495,0.000447779
1319.23657,0.0013619,0.000441952
1324.875,0.001350403,0.000436201
1330.53772,0.001338934,0.000430526
1336.22461,0.001327557,0.000424925
1341.93567,0.001316277,0.000419397
1347.67126,0.00130502,0.000413939
1353.4314,0.001293859,0.000408553
1359.21606,0.001282788,0.000403237
1365.02551,0.001271748,0.00039799
1370.85974,0.001260803,0.000392811
1376.71887,0.00124994,0.0003877
1382.60315,0.001239114,0.000382656
1388.51245,0.001228382,0.000377678
1394.44727,0.001217725,0.000372764
1400.40723,0.001207111,0.000367913
1406.3927,0.001196589,0.000363125
1412.40369,0.001186137,0.000358399
1418.44043,0.001175731,0.000353737
1424.50305,0.001165416,0.000349136
1430.59155,0.001155164,0.000344593
1436.70605,0.001144964,0.000340108
1442.84668,0.001134853,0.000335681
1449.01343,0.001124798,0.000331314
1455.20679,0.001114796,0.000327004
1461.42651,0.001104883,0.000322749
1467.67273,0.00109504,0.00031855
1473.94568,0.001085272,0.000314404
1480.24548,0.001075591,0.000310312
1486.57227,0.001065955,0.000306251
1492.92603,0.001056384,0.000302233
1499.30688,0.0010469,0.000298267
1505.71509,0.001037426,0.00029432
1512.15063,0.001028012,0.000290412
1518.61377,0.001018683,0.000286557
1525.10449,0.001009347,0.000282754
1531.62292,0.001000076,0.000279002
1538.16931,0.00099089,0.000275299
1544.74353,0.000981707,0.000271645
1551.34595,0.0009726,0.000268039
1557.97644,0.000963576,0.000264481
1564.6355,0.000954546,0.000260971
1571.32288,0.000945599,0.000257508
1578.03894,0.000936728,0.00025409
1584.78357,0.000927853,0.000250717
1591.55713,0.000919061,0.000247389
1598.35962,0.000910337,0.000244105
1605.19116,0.000901613,0.000240865
1612.05188,0.000892972,0.000237668
1618.94202,0.000884389,0.000234513
1625.86157,0.00087581,0.0002314
1632.81055,0.000867314,0.000228329
1639.78931,0.000858865,0.000225298
1646.79797,0.000850427,0.000222308
1653.83655,0.00084207,0.000219357
1660.90527,0.00083375,0.000216446
1668.00415,0.000825444,0.000213573
1675.1333,0.000817219,0.000210738
1682.29309,0.000809017,0.000207941
1689.48328,0.000800834,0.000205181
1696.70435,0.000792732,0.000202458
1703.9563,0.00078464,0.00019977
1711.23914,0.000776574,0.000197119
1718.55322,0.000768588,0.000194502
1725.89844,0.000760609,0.000191921
1733.27502,0.000752669,0.000189374
1740.68335,0.000744809,0.00018686
1748.12317,0.000736917,0.000184358
1755.59473,0.000729065,0.000181881
1763.09839,0.000721292,0.000179438
1770.63403,0.000713448,0.000177006
1778.2019,0.000705649,0.000174603
1785.80212,0.000697931,0.000172232
1793.43481,0.00069011,0.000169893
1801.1001,0.00068235,0.000167587
1808.79822,0.000674671,0.000165311
1816.5293,0.000666861,0.000163067
1824.29321,0.000659128,0.000160853
1832.09045,0.000651466,0.000158669
1839.92102,0.000643651,0.000156515
1847.78503,0.000635922,0.00015439
1855.68262,0.000628239,0.000152294
1863.61401,0.000620395,0.000150226
1871.57935,0.000612639,0.000148186
1879.57861,0.000604897,0.000146173
1887.61206,0.000596984,0.000144189
1895.67993,0.000589162,0.000142231
1903.78223,0.00058131,0.0001403
1911.91919,0.000573272,0.000138395
1920.09106,0.000565328,0.000136516
1928.29761,0.000557291,0.000134662
1936.53943,0.000549051,0.000132834
1944.81641,0.000540911,0.000131031
1953.12866,0.000532581,0.000129252
1961.47656,0.000524026,0.000127497
1969.86011,0.000515578,0.000125766
1978.27942,0.000506789,0.000124058
1986.73486,0.000497745,0.000122374
1995.22644,0.000488817,0.000120713
2003.75415,0.000479288,0.000119074
2012.31836,0.000469464,0.000117457
2020.91931,0.000459772,0.000115862
2029.55701,0.000448969,0.000114289
2038.23132,0.000437812,0.000112738
2046.94299,0.000426813,0.000111208
2055.69189,0.000413498,0.00010968
2064.47827,0.000399732,0.000108168
2073.30176,0.00038617,0.000106677
2082.16333,0.000365941,0.000105196
2091.06274,0.000345044,0.000103734
2100.00024,0.000324476,0.000102293