Rh,Density=12.41,
"Energy(eV),","Delta,",Beta
250,0.009216461,0.003049165
255.253021,0.008684059,0.002938159
260.616455,0.008159435,0.002833429
266.092529,0.007643404,0.002726097
271.683716,0.007123982,0.002613187
277.392365,0.006594303,0.002504956
283.220978,0.006042823,0.002404864
289.172058,0.00547313,0.002326652
295.248169,0.00489436,0.002267737
301.451965,0.004269408,0.002224437
307.786102,0.003573012,0.002221394
314.253326,0.002785702,0.002325592
320.856476,0.001964805,0.002672801
327.598358,0.001241005,0.003299097
334.481903,0.000867316,0.004101493
341.510071,0.00073052,0.004831864
348.685913,0.000778835,0.005483932
356.012543,0.001021402,0.006056274
363.493134,0.001400907,0.006441796
371.13089,0.001743833,0.006597865
378.929138,0.002067884,0.00667893
386.891235,0.002354268,0.006642585
395.02066,0.002541814,0.006561152
403.320892,0.002692448,0.006499799
411.795532,0.002841827,0.006440648
420.448212,0.003017121,0.006357729
429.282715,0.003173685,0.006221964
438.302887,0.003309616,0.006057115
447.512543,0.003400987,0.005877022
456.915741,0.003466656,0.005701534
466.516479,0.003515962,0.005529668
476.319,0.003552922,0.005362992
486.327484,0.003582569,0.005205348
496.546265,0.003615255,0.005055456
506.979767,0.003669285,0.004909888
517.632507,0.003727948,0.004714491
528.509033,0.003743422,0.004506441
539.614136,0.003740778,0.004306971
550.952576,0.003725618,0.004111332
562.529236,0.003694018,0.003921045
574.349182,0.003648109,0.003744366
586.41748,0.003600882,0.003584746
598.73938,0.003556353,0.003434657
611.320129,0.003516356,0.003291326
624.165283,0.003484572,0.003153126
637.280334,0.003463469,0.003007437
650.670959,0.003437244,0.0028377
664.342957,0.003384192,0.002663944
678.302185,0.003314873,0.002504717
692.554749,0.003241242,0.002361079
707.10675,0.00317052,0.002225084
721.9646,0.003097027,0.002091506
737.134644,0.003018978,0.001964406
752.623352,0.002938397,0.001845039
768.437622,0.002857462,0.001732702
784.584106,0.002776683,0.001626106
801.069885,0.00269484,0.001524781
817.9021,0.002612717,0.00142968
835.087952,0.002531284,0.001340515
852.634888,0.002450883,0.001256619
870.550598,0.002371442,0.00117751
888.842712,0.002293103,0.001103184
907.519165,0.002216247,0.001033545
926.588074,0.002141224,0.000968113
946.057678,0.002067741,0.000906063
965.93634,0.001995685,0.000847752
986.232788,0.001925197,0.000793129
1006.95563,0.001856636,0.000741914
1028.11389,0.001789983,0.00069349
1049.71667,0.001724874,0.000647778
1071.77356,0.001661133,0.000604898
1094.2937,0.001599085,0.000564853
1117.28711,0.001538816,0.000527461
1140.76379,0.001480304,0.000492543
1164.73364,0.001423606,0.000459941
1189.20715,0.001368733,0.000429492
1214.19495,0.001315647,0.00040106
1239.70776,0.001264308,0.000374516
1265.75659,0.001214727,0.000349747
1292.35291,0.001166889,0.000326638
1319.50793,0.001120727,0.000305055
1347.23364,0.001076229,0.000284903
1375.54187,0.001033359,0.000266076
1404.44495,0.000992053,0.000248496
1433.95532,0.000952293,0.000232078
1464.08569,0.000914073,0.000216721
1494.84937,0.000877363,0.000202301
1526.25928,0.000841924,0.000188594
1558.32922,0.000807693,0.000175796
1591.073,0.000774693,0.00016387
1624.50476,0.000742897,0.000152749
1658.63916,0.000712294,0.000142382
1693.49072,0.000682856,0.00013272
1729.07446,0.000654583,0.000123701
1765.40601,0.000627369,0.000115201
1802.50098,0.00060115,0.000107253
1840.37537,0.000575896,9.98E-05
1879.04565,0.000551573,9.29E-05
1918.52832,0.000528178,8.65E-05
1958.8407,0.000505679,8.05E-05
2000,0.000484025,7.50E-05