Energy (keV),theta rms (microrad),z_src (m),theta_fwhm (microrad),theta half angle 1/e^2 (microrad),wavelength (microns),source size 1/e^2 (microns)
0.2,23.93,-44.1,56.35084368,47.86,0.006199,41.22864573
0.33,16.56,-44.9,38.99581995,33.12,0.00375697,36.10750594
0.46,12.68,-43.8,29.85911817,25.36,0.002695217,33.82942985
0.59,10.35,-42.7,24.37238747,20.7,0.002101356,32.31315786
0.72,8.77,-41.5,20.65177179,17.54,0.001721944,31.24925542
0.85,7.63,-40.3,17.96727694,15.26,0.001458588,30.42483979
0.98,6.76,-39.2,15.9185835,13.52,0.001265102,29.78509516
1.11,6.09,-38.1,14.34085407,12.18,0.001116937,29.18982506
1.24,5.54,-37,13.04570305,11.08,0.000999839,28.72369548
1.37,5.09,-36,11.98603403,10.18,0.000904964,28.29654517
1.5,4.71,-35.1,11.09120241,9.42,0.000826533,27.92927083
1.63,4.38,-34.3,10.3141118,8.76,0.000760613,27.63821868
1.76,4.11,-33.6,9.678310385,8.22,0.000704432,27.27829828
1.89,3.86,-32.9,9.089605374,7.72,0.000655979,27.04722132
2.02,3.65,-32.4,8.595093164,7.3,0.000613762,26.76255235
2.15,3.46,-31.7,8.147677356,6.92,0.000576651,26.52511069
2.28,3.29,-31.1,7.747357948,6.58,0.000543772,26.3051643
2.41,3.14,-30.5,7.394134941,6.28,0.00051444,26.07504538
2.54,3.01,-29.9,7.088008336,6.02,0.00048811,25.80902222
2.67,2.88,-29.3,6.78188173,5.76,0.000464345,25.66067135
2.8,2.77,-28.7,6.522851525,5.54,0.000442786,25.44098742
2.93,2.66,-28.2,6.26382132,5.32,0.00042314,25.3175984
3.06,2.57,-27.7,6.051887516,5.14,0.000405163,25.09095629
3.19,2.48,-27.2,5.839953712,4.96,0.000388652,24.94189231
3.32,2.39,-26.7,5.628019908,4.78,0.000373434,24.86770914
3.45,2.32,-26.2,5.463182504,4.64,0.000359362,24.65271095
3.58,2.25,-25.7,5.298345101,4.5,0.000346313,24.49662302
3.71,2.18,-25.2,5.133507698,4.36,0.000334178,24.39727719
3.84,2.12,-24.7,4.992218495,4.24,0.000322865,24.23844075
3.97,2.06,-24.2,4.850929293,4.12,0.000312292,24.12759512
4.1,2,-23.8,4.70964009,4,0.00030239,24.06345103
4.23,1.95,-23.3,4.591899088,3.9,0.000293097,23.92196138
4.36,1.9,-22.9,4.474158086,3.8,0.000284358,23.81944694
4.49,1.85,-22.4,4.356417083,3.7,0.000276125,23.75492668
4.62,1.81,-22,4.262224282,3.62,0.000268355,23.59669686
4.75,1.77,-21.5,4.16803148,3.54,0.000261011,23.46955676
4.88,1.73,-21.1,4.073838678,3.46,0.000254057,23.37253606
5.01,1.69,-20.6,3.979645876,3.38,0.000247465,23.3049048
5.14,1.65,-20.2,3.885453074,3.3,0.000241206,23.26615947
5.27,1.62,-19.7,3.814808473,3.24,0.000235256,23.11245794
5.4,1.59,-19.3,3.744163872,3.18,0.000229593,22.98163271
5.53,1.55,-18.9,3.64997107,3.1,0.000224195,23.02050965
5.66,1.52,-18.4,3.579326468,3.04,0.000219046,22.93568654
5.79,1.49,-18,3.508681867,2.98,0.000214128,22.87214689
5.92,1.47,-17.5,3.461585466,2.94,0.000209426,22.67423911
6.05,1.44,-17.1,3.390940865,2.88,0.000204926,22.64925372
6.18,1.41,-16.7,3.320296263,2.82,0.000200615,22.64457509
6.31,1.39,-16.2,3.273199863,2.78,0.000196482,22.49715519
6.44,1.37,-15.8,3.226103462,2.74,0.000192516,22.36481598
6.57,1.34,-15.3,3.15545886,2.68,0.000188706,22.41308281
6.7,1.32,-14.9,3.108362459,2.64,0.000185045,22.31120516
6.83,1.3,-14.4,3.061266059,2.6,0.000181523,22.22325695
6.96,1.28,-14,3.014169658,2.56,0.000178132,22.14891999
7.09,1.26,-13.5,2.967073257,2.52,0.000174866,22.08792827
7.22,1.24,-13.1,2.919976856,2.48,0.000171717,22.0400655
7.35,1.22,-12.6,2.872880455,2.44,0.00016868,22.0051632
7.48,1.2,-12.1,2.825784054,2.4,0.000165749,21.9830992
7.61,1.18,-11.7,2.778687653,2.36,0.000162917,21.97379657
7.74,1.17,-11.7,2.755139453,2.34,0.000160181,21.78938343
7.87,1.15,-11.8,2.708043052,2.3,0.000157535,21.80214336
8,1.13,-12,2.660946651,2.26,0.000154975,21.82746664