SiC,Density=3.217,
"Energy(eV),","Delta,",Beta
250,0.007382505,0.004215704
255.377594,0.007074981,0.003953962
260.87088,0.006746403,0.003707841
266.48233,0.00639191,0.003477113
272.214447,0.005992564,0.003260799
278.069885,0.005423861,0.003058005
284.0513,0.003182235,0.002867876
290.161346,0.005170773,0.004251089
296.402832,0.005397419,0.003981573
302.778564,0.00543243,0.003725976
309.291443,0.005395507,0.003485409
315.944458,0.005315857,0.003260375
322.74054,0.005212137,0.003049875
329.682831,0.005094323,0.002852983
336.774445,0.004966504,0.002668796
344.018585,0.004832773,0.002496504
351.418549,0.004696351,0.002335346
358.977692,0.004559081,0.002184591
366.699463,0.004424152,0.002041798
374.587341,0.004289371,0.001902927
382.644836,0.004152473,0.001770677
390.875702,0.004013825,0.00164618
399.2836,0.003875648,0.001530435
407.872314,0.003739072,0.001422827
416.645813,0.003604586,0.001322788
425.608032,0.003472961,0.001229784
434.763031,0.003344451,0.00114332
444.11499,0.00321916,0.001062935
453.66806,0.003097558,0.000988203
463.426636,0.002979886,0.000918527
473.395142,0.002865507,0.000852682
483.578064,0.002754239,0.000791508
493.980011,0.002646343,0.000734495
504.605713,0.002541665,0.000681536
515.460022,0.002440436,0.000632396
526.547729,0.002342668,0.000586799
537.873962,0.002248271,0.00054449
549.443909,0.002157277,0.000505231
561.262695,0.002069653,0.000468803
573.335632,0.00198535,0.000435
585.668335,0.001904426,0.000403434
598.266235,0.001826447,0.000373689
611.135254,0.001751083,0.00034604
624.281006,0.001678458,0.000320438
637.709473,0.001608578,0.000296731
651.426941,0.001541352,0.000274778
665.439392,0.001476704,0.000254449
679.753235,0.001414555,0.000235709
694.375,0.001354819,0.000218526
709.311218,0.001297809,0.000202795
724.568848,0.001243246,0.000187973
740.154602,0.001190808,0.000174181
756.075623,0.00114052,0.0001614
772.339111,0.001092321,0.000149558
788.952454,0.001046164,0.000138575
805.923096,0.00100201,0.000128238
823.25885,0.000959528,0.000118526
840.967468,0.000918729,0.000109548
859.057007,0.000879588,0.000101242
877.535706,0.00084207,9.36E-05
896.411865,0.000806154,8.64E-05
915.69397,0.000771754,7.97E-05
935.39093,0.000738654,7.34E-05
955.511597,0.000706861,6.76E-05
976.065063,0.000676352,6.23E-05
997.060608,0.0006471,5.74E-05
1018.50769,0.000619054,5.28E-05
1040.41626,0.000592166,4.86E-05
1062.79602,0.000566384,4.48E-05
1085.65723,0.000541642,4.12E-05
1109.01013,0.000517896,3.81E-05
1132.86548,0.000495223,3.52E-05
1157.23376,0.000473534,3.25E-05
1182.12634,0.000452768,3.00E-05
1207.55432,0.000432885,2.77E-05
1233.5293,0.000413839,2.56E-05
1260.06311,0.000395585,2.37E-05
1287.16748,0.000378089,2.19E-05
1314.85498,0.000361313,2.02E-05
1343.13794,0.00034521,1.86E-05
1372.02942,0.000329756,1.72E-05
1401.54248,0.000314918,1.59E-05
1431.69006,0.00030065,1.47E-05
1462.48633,0.000286926,1.35E-05
1493.94495,0.000273713,1.25E-05
1526.08032,0.000260952,1.15E-05
1558.90686,0.000248597,1.06E-05
1592.4397,0.000236607,9.78E-06
1626.69373,0.000224882,9.02E-06
1661.68457,0.000213326,8.31E-06
1697.42798,0.000201812,7.66E-06
1733.94031,0.00018994,7.06E-06
1771.23804,0.000176864,6.50E-06
1809.33826,0.000159868,5.98E-06
1848.25781,0.000144019,4.22E-05
1888.01453,0.000155029,3.93E-05
1928.62659,0.000155726,3.65E-05
1970.11194,0.000153584,3.39E-05
2012.48975,0.000150292,3.16E-05
2055.77954,0.000146339,2.93E-05
2100,0.000142071,2.72E-05