W,Density=19.3,
"Energy(eV),","Delta,",Beta
250,0.011568646,0.014452451
255.377594,0.011369934,0.014119785
260.87088,0.011205232,0.013794811
266.48233,0.011097672,0.013477267
272.214447,0.011030549,0.013052234
278.069885,0.010890976,0.012585502
284.0513,0.010716501,0.012135064
290.161346,0.010526241,0.01170078
296.402832,0.010327607,0.01128199
302.778564,0.01012967,0.010875282
309.291443,0.009926811,0.010471905
315.944458,0.009713594,0.010079903
322.74054,0.009496237,0.009702579
329.682831,0.009277564,0.009339412
336.774445,0.009059687,0.008989276
344.018585,0.008842584,0.008648214
351.418549,0.008622372,0.008318511
358.977692,0.008399975,0.008001349
366.699463,0.008170987,0.007697049
374.587341,0.007941351,0.007422626
382.644836,0.007728626,0.007168156
390.875702,0.007528347,0.006922408
399.2836,0.007336536,0.006685098
407.872314,0.007152323,0.006455925
416.645813,0.006974735,0.006236501
425.608032,0.006807263,0.006028549
434.763031,0.006652764,0.005827782
444.11499,0.006516607,0.005633735
453.66806,0.006399212,0.005429132
463.426636,0.006285346,0.005201644
473.395142,0.006149228,0.004970463
483.578064,0.00600541,0.004749404
493.980011,0.005858905,0.004538217
504.605713,0.005712557,0.004336583
515.460022,0.005569642,0.004142985
526.547729,0.005430039,0.003953402
537.873962,0.005290026,0.003761913
549.443909,0.0051428,0.003576934
561.262695,0.004992074,0.00339934
573.335632,0.004830989,0.00323672
585.668335,0.004676844,0.003098069
598.266235,0.00453579,0.002969999
611.135254,0.004407455,0.002847929
624.281006,0.004291143,0.002730378
637.709473,0.004186382,0.002608766
651.426941,0.004086183,0.002471415
665.439392,0.003971006,0.00233334
679.753235,0.003848629,0.002206319
694.375,0.003730011,0.002090803
709.311218,0.003617208,0.001979607
724.568848,0.003505216,0.001869744
740.154602,0.003392418,0.001765133
756.075623,0.003281271,0.001666328
772.339111,0.003172615,0.001572676
788.952454,0.003066559,0.001482385
805.923096,0.002961117,0.001396151
823.25885,0.002857469,0.001314914
840.967468,0.002756012,0.001238337
859.057007,0.002657034,0.001165825
877.535706,0.002560394,0.001097197
896.411865,0.002465991,0.001032511
915.69397,0.002374225,0.000971613
935.39093,0.002285169,0.000913912
955.511597,0.002198478,0.000859277
976.065063,0.002114068,0.000807767
997.060608,0.002032263,0.000759285
1018.50769,0.001953106,0.000713494
1040.41626,0.001876185,0.000669679
1062.79602,0.001801274,0.0006283
1085.65723,0.001728299,0.000589381
1109.01013,0.001657394,0.000552861
1132.86548,0.001588665,0.000518586
1157.23376,0.001522037,0.000486425
1182.12634,0.001457455,0.000456255
1207.55432,0.001394982,0.000427949
1233.5293,0.001334598,0.000401371
1260.06311,0.001276164,0.00037612
1287.16748,0.001219415,0.000352095
1314.85498,0.001164036,0.000329479
1343.13794,0.001110029,0.000308306
1372.02942,0.001057489,0.000288481
1401.54248,0.001006298,0.000269922
1431.69006,0.000956193,0.000252558
1462.48633,0.000907249,0.000236297
1493.94495,0.000859248,0.000221041
1526.08032,0.000811611,0.00020667
1558.90686,0.000764315,0.000193221
1592.4397,0.000716962,0.000180643
1626.69373,0.000668244,0.000168876
1661.68457,0.00061769,0.00015787
1697.42798,0.000563572,0.000147576
1733.94031,0.000498732,0.000137936
1771.23804,0.000409406,0.000128862
1809.33826,-7.09E-05,0.00036487
1848.25781,0.000301932,0.000342508
1888.01453,0.000271862,0.000474664
1928.62659,0.000440219,0.000441253
1970.11194,0.000470452,0.000410193
2012.48975,0.000483819,0.000381358
2055.77954,0.000487528,0.000354541
2100,0.000484693,0.000329572