Y3Al5O12,Density=4.55,
"Energy(eV),","Delta,",Beta
1000,0.000809098,0.00015297
1006.83929,0.000798202,0.000149322
1013.7254,0.000787452,0.000145761
1020.65863,0.000776818,0.000142297
1027.63916,0.000766316,0.000138922
1034.66748,0.000755947,0.000135617
1041.7439,0.000745699,0.000132371
1048.86877,0.00073559,0.000129203
1056.04236,0.000725561,0.000126137
1063.26489,0.000715668,0.000123145
1070.53687,0.000705887,0.000120223
1077.85852,0.000696226,0.000117371
1085.23035,0.00068669,0.000114586
1092.65271,0.000677265,0.000111868
1100.12561,0.000667969,0.000109214
1107.64966,0.00065877,0.000106623
1115.22534,0.000649696,0.000104094
1122.85266,0.000640729,0.000101625
1130.5321,0.000631872,9.92E-05
1138.26428,0.00062313,9.69E-05
1146.04919,0.000614485,9.46E-05
1153.88745,0.00060596,9.23E-05
1161.77917,0.000597527,9.01E-05
1169.72498,0.000589206,8.80E-05
1177.7251,0.000580985,8.59E-05
1185.77979,0.000572864,8.39E-05
1193.88977,0.000564851,8.19E-05
1202.05518,0.000556923,7.99E-05
1210.27637,0.000549106,7.80E-05
1218.55383,0.000541374,7.62E-05
1226.88794,0.000533744,7.44E-05
1235.27893,0.000526206,7.26E-05
1243.72742,0.000518756,7.09E-05
1252.23364,0.000511409,6.92E-05
1260.7981,0.000504133,6.76E-05
1269.42114,0.00049696,6.60E-05
1278.10303,0.000489858,6.44E-05
1286.84436,0.000482846,6.29E-05
1295.64551,0.000475917,6.14E-05
1304.50684,0.000469061,5.99E-05
1313.42871,0.000462302,5.85E-05
1322.41162,0.000455593,5.71E-05
1331.45605,0.000448981,5.57E-05
1340.56238,0.000442427,5.44E-05
1349.73083,0.000435951,5.31E-05
1358.96204,0.000429549,5.19E-05
1368.25647,0.000423197,5.06E-05
1377.61438,0.000416938,4.94E-05
1387.03625,0.000410698,4.82E-05
1396.52258,0.000404548,4.71E-05
1406.07397,0.00039843,4.60E-05
1415.69043,0.000392367,4.49E-05
1425.3728,0.000386363,4.38E-05
1435.12146,0.000380357,4.28E-05
1444.93665,0.000374442,4.18E-05
1454.81897,0.000368459,4.08E-05
1464.76892,0.000362553,3.98E-05
1474.78687,0.000356585,3.89E-05
1484.87341,0.000350587,3.79E-05
1495.02893,0.000344583,3.70E-05
1505.25391,0.00033826,3.61E-05
1515.54883,0.000332044,3.53E-05
1525.91406,0.00032473,3.44E-05
1536.35034,0.000317329,3.36E-05
1546.85791,0.000299421,3.28E-05
1557.43726,0.00027088,3.21E-05
1568.08911,0.000296774,5.58E-05
1578.81384,0.00029777,5.45E-05
1589.61182,0.000298685,5.33E-05
1600.48364,0.000297116,5.20E-05
1611.42981,0.000294861,5.08E-05
1622.45081,0.000292308,4.97E-05
1633.54736,0.000289364,4.85E-05
1644.71973,0.000286423,4.74E-05
1655.96838,0.000283199,4.63E-05
1667.29419,0.00028001,4.53E-05
1678.69727,0.000276711,4.42E-05
1690.17834,0.000273394,4.32E-05
1701.73804,0.000270067,4.22E-05
1713.37671,0.000266694,4.12E-05
1725.09509,0.000263362,4.03E-05
1736.89355,0.000259966,3.93E-05
1748.77258,0.000256614,3.84E-05
1760.73303,0.000253239,3.75E-05
1772.77527,0.000249875,3.66E-05
1784.89978,0.000246529,3.58E-05
1797.10718,0.000243166,3.49E-05
1809.39832,0.00023985,3.41E-05
1821.77332,0.000236502,3.33E-05
1834.23291,0.000233197,3.25E-05
1846.77783,0.000229885,3.18E-05
1859.40845,0.000226585,3.10E-05
1872.12561,0.000223305,3.03E-05
1884.92969,0.00021999,2.96E-05
1897.82117,0.000216724,2.88E-05
1910.80103,0.000213392,2.82E-05
1923.86963,0.000210096,2.75E-05
1937.02759,0.000206761,2.68E-05
1950.27539,0.000203401,2.62E-05
1963.61401,0.000200049,2.55E-05
1977.0437,0.000196548,2.49E-05
1990.56543,0.000193104,2.43E-05
2004.17944,0.000189356,2.38E-05
2017.8866,0.000185597,2.32E-05
2031.6875,0.00018134,2.26E-05
2045.58301,0.000176533,2.21E-05
2059.57349,0.000169722,2.16E-05
2073.65942,0.000147222,2.10E-05
2087.8418,0.000155271,3.85E-05
2102.12109,0.000163418,3.74E-05
2116.49829,0.000163952,3.64E-05
2130.97363,0.000161245,3.55E-05
2145.5481,0.000154,3.45E-05
2160.22217,0.000157447,4.13E-05
2174.99634,0.000158481,4.04E-05
2189.87207,0.000159457,3.96E-05
2204.84912,0.000159134,3.87E-05
2219.92871,0.000158263,3.79E-05
2235.11157,0.000157263,3.71E-05
2250.39819,0.000156029,3.63E-05
2265.78931,0.000154801,3.56E-05
2281.28564,0.000153367,3.48E-05
2296.88818,0.000151942,3.40E-05
2312.59717,0.000150358,3.31E-05
2328.41406,0.000148695,3.23E-05
2344.33862,0.000146455,3.16E-05
2360.37231,0.000142769,3.08E-05
2376.51562,0.000141949,3.27E-05
2392.76929,0.000141768,3.20E-05
2409.13403,0.000140978,3.13E-05
2425.61108,0.000139882,3.06E-05
2442.20068,0.000138569,2.99E-05
2458.90356,0.000137241,2.92E-05
2475.7207,0.000135834,2.85E-05
2492.65283,0.00013444,2.79E-05
2509.70093,0.000133004,2.73E-05
2526.86548,0.000131574,2.67E-05
2544.14746,0.000130136,2.61E-05
2561.54785,0.000128694,2.55E-05
2579.06689,0.000127261,2.49E-05
2596.70605,0.000125818,2.43E-05
2614.46582,0.000124391,2.38E-05
2632.34692,0.000122961,2.33E-05
2650.35034,0.000121542,2.27E-05
2668.47681,0.000120131,2.22E-05
2686.72754,0.000118726,2.17E-05
2705.10278,0.000117335,2.12E-05
2723.60376,0.000115948,2.08E-05
2742.23145,0.000114577,2.03E-05
2760.98633,0.000113222,1.98E-05
2779.86963,0.000111882,1.94E-05
2798.88208,0.000110556,1.89E-05
2818.02441,0.000109242,1.85E-05
2837.29761,0.000107943,1.81E-05
2856.70288,0.000106635,1.76E-05
2876.24072,0.000105343,1.72E-05
2895.91211,0.000104052,1.68E-05
2915.71826,0.000102769,1.63E-05
2935.65991,0.000101498,1.59E-05
2955.73755,0.000100233,1.55E-05
2975.95288,9.90E-05,1.52E-05
2996.3064,9.77E-05,1.48E-05
3016.79907,9.65E-05,1.44E-05
3037.43164,9.53E-05,1.41E-05
3058.20581,9.41E-05,1.37E-05
3079.12183,9.29E-05,1.34E-05
3100.18091,9.17E-05,1.31E-05
3121.38379,9.05E-05,1.27E-05
3142.73218,8.94E-05,1.24E-05
3164.22607,8.82E-05,1.21E-05
3185.86719,8.71E-05,1.18E-05
3207.65649,8.60E-05,1.15E-05
3229.59448,8.48E-05,1.12E-05
3251.68286,8.37E-05,1.10E-05
3273.92188,8.27E-05,1.07E-05
3296.31323,8.16E-05,1.04E-05
3318.85791,8.05E-05,1.02E-05
3341.55664,7.95E-05,9.92E-06
3364.4104,7.84E-05,9.68E-06
3387.42065,7.74E-05,9.44E-06
3410.58838,7.64E-05,9.21E-06
3433.91431,7.54E-05,8.98E-06
3457.40015,7.44E-05,8.76E-06
3481.04614,7.34E-05,8.55E-06
3504.85425,7.24E-05,8.34E-06
3528.82495,7.15E-05,8.14E-06
3552.95972,7.05E-05,7.94E-06
3577.25952,6.96E-05,7.74E-06
3601.72559,6.87E-05,7.55E-06
3626.35864,6.78E-05,7.37E-06
3651.1604,6.69E-05,7.19E-06
3676.13208,6.60E-05,7.01E-06
3701.27417,6.51E-05,6.84E-06
3726.58813,6.42E-05,6.67E-06
3752.07568,6.34E-05,6.51E-06
3777.73706,6.25E-05,6.35E-06
3803.57422,6.17E-05,6.20E-06
3829.58813,6.09E-05,6.04E-06
3855.77979,6.01E-05,5.89E-06
3882.15088,5.93E-05,5.75E-06
3908.7019,5.85E-05,5.60E-06
3935.43481,5.77E-05,5.46E-06
3962.35034,5.69E-05,5.33E-06
3989.4502,5.62E-05,5.19E-06
4016.73511,5.54E-05,5.06E-06
4044.20703,5.47E-05,4.94E-06
4071.86646,5.39E-05,4.81E-06
4099.71533,5.32E-05,4.69E-06
4127.75488,5.25E-05,4.58E-06
4155.98535,5.18E-05,4.46E-06
4184.40967,5.11E-05,4.35E-06
4213.02783,5.04E-05,4.25E-06
4241.84229,4.97E-05,4.15E-06
4270.85352,4.90E-05,4.05E-06
4300.06299,4.84E-05,3.95E-06
4329.47266,4.77E-05,3.85E-06
4359.08301,4.71E-05,3.76E-06
4388.89648,4.64E-05,3.67E-06
4418.91357,4.58E-05,3.58E-06
4449.13574,4.52E-05,3.50E-06
4479.56445,4.46E-05,3.41E-06
4510.20215,4.40E-05,3.33E-06
4541.04834,4.34E-05,3.25E-06
4572.10645,4.28E-05,3.17E-06
4603.37646,4.22E-05,3.09E-06
4634.85986,4.16E-05,3.02E-06
4666.55908,4.11E-05,2.95E-06
4698.47559,4.05E-05,2.88E-06
4730.60986,4.00E-05,2.81E-06
4762.96387,3.94E-05,2.74E-06
4795.53955,3.89E-05,2.67E-06
4828.3374,3.84E-05,2.61E-06
4861.35986,3.78E-05,2.55E-06
4894.60791,3.73E-05,2.48E-06
4928.08398,3.68E-05,2.42E-06
4961.78857,3.63E-05,2.36E-06
4995.72363,3.58E-05,2.30E-06
5029.89111,3.54E-05,2.25E-06
5064.29199,3.49E-05,2.19E-06
5098.92822,3.44E-05,2.14E-06
5133.80127,3.39E-05,2.08E-06
5168.91357,3.35E-05,2.03E-06
5204.26514,3.30E-05,1.98E-06
5239.8584,3.26E-05,1.93E-06
5275.69531,3.21E-05,1.88E-06
5311.77783,3.17E-05,1.83E-06
5348.10645,3.13E-05,1.79E-06
5384.68408,3.08E-05,1.74E-06
5421.51172,3.04E-05,1.70E-06
5458.59082,3.00E-05,1.66E-06
5495.92383,2.96E-05,1.62E-06
5533.51221,2.92E-05,1.58E-06
5571.35791,2.88E-05,1.54E-06
5609.46191,2.84E-05,1.50E-06
5647.82666,2.80E-05,1.46E-06
5686.45361,2.76E-05,1.42E-06
5725.34521,2.72E-05,1.39E-06
5764.50244,2.69E-05,1.35E-06
5803.92773,2.65E-05,1.32E-06
5843.62256,2.61E-05,1.29E-06
5883.58936,2.58E-05,1.25E-06
5923.82861,2.54E-05,1.22E-06
5964.34375,2.51E-05,1.19E-06
6005.13574,2.48E-05,1.16E-06
6046.20654,2.44E-05,1.13E-06
6087.55811,2.41E-05,1.11E-06
6129.19336,2.37E-05,1.08E-06
6171.1123,2.34E-05,1.05E-06
6213.31885,2.31E-05,1.02E-06
6255.81348,2.28E-05,9.98E-07
6298.59863,2.25E-05,9.73E-07
6341.67725,2.22E-05,9.49E-07
6385.0498,2.19E-05,9.25E-07
6428.71924,2.16E-05,9.02E-07
6472.68701,2.13E-05,8.80E-07
6516.95605,2.10E-05,8.58E-07
6561.52734,2.07E-05,8.36E-07
6606.40332,2.04E-05,8.15E-07
6651.58643,2.01E-05,7.95E-07
6697.0791,1.99E-05,7.75E-07
6742.88232,1.96E-05,7.55E-07
6788.99902,1.93E-05,7.36E-07
6835.43115,1.91E-05,7.18E-07
6882.18066,1.88E-05,7.00E-07
6929.25,1.85E-05,6.82E-07
6976.64111,1.83E-05,6.65E-07
7024.35693,1.80E-05,6.48E-07
7072.39844,1.78E-05,6.32E-07
7120.76904,1.75E-05,6.16E-07
7169.46973,1.73E-05,6.01E-07
7218.50439,1.71E-05,5.86E-07
7267.87354,1.68E-05,5.71E-07
7317.58105,1.66E-05,5.57E-07
7367.62793,1.64E-05,5.43E-07
7418.01807,1.62E-05,5.29E-07
7468.75195,1.59E-05,5.16E-07
7519.83301,1.57E-05,5.03E-07
7571.26318,1.55E-05,4.90E-07
7623.04541,1.53E-05,4.78E-07
7675.18164,1.51E-05,4.66E-07
7727.6748,1.49E-05,4.54E-07
7780.52686,1.47E-05,4.43E-07
7833.74023,1.45E-05,4.32E-07
7887.31787,1.43E-05,4.21E-07
7941.26123,1.41E-05,4.10E-07
7995.57422,1.39E-05,4.00E-07
8050.25879,1.37E-05,3.90E-07
8105.31641,1.35E-05,3.80E-07
8160.75146,1.33E-05,3.70E-07
8216.56543,1.31E-05,3.61E-07
8272.76074,1.30E-05,3.51E-07
8329.34082,1.28E-05,3.42E-07
8386.30762,1.26E-05,3.33E-07
8443.66406,1.24E-05,3.24E-07
8501.41309,1.23E-05,3.15E-07
8559.55664,1.21E-05,3.07E-07
8618.09863,1.19E-05,2.99E-07
8677.04004,1.18E-05,2.91E-07
8736.38574,1.16E-05,2.83E-07
8796.13574,1.14E-05,2.76E-07
8856.2959,1.13E-05,2.69E-07
8916.86621,1.11E-05,2.62E-07
8977.85156,1.10E-05,2.55E-07
9039.25391,1.08E-05,2.48E-07
9101.07617,1.07E-05,2.41E-07
9163.32129,1.05E-05,2.35E-07
9225.99219,1.04E-05,2.29E-07
9289.09082,1.03E-05,2.23E-07
9352.62207,1.01E-05,2.17E-07
9416.58789,9.97E-06,2.11E-07
9480.99023,9.83E-06,2.06E-07
9545.83496,9.70E-06,2.00E-07
9611.12109,9.57E-06,1.95E-07
9676.85449,9.44E-06,1.90E-07
9743.03711,9.31E-06,1.85E-07
9809.67285,9.18E-06,1.80E-07
9876.76465,9.05E-06,1.75E-07
9944.31543,8.93E-06,1.71E-07
10012.3271,8.81E-06,1.66E-07
10080.8047,8.68E-06,1.62E-07
10149.75,8.57E-06,1.58E-07
10219.168,8.45E-06,1.54E-07
10289.0596,8.33E-06,1.50E-07
10359.4297,8.22E-06,1.46E-07
10430.2803,8.10E-06,1.42E-07
10501.6162,7.99E-06,1.39E-07
10573.4404,7.88E-06,1.35E-07
10645.7559,7.78E-06,1.32E-07
10718.5654,7.67E-06,1.28E-07
10791.873,7.56E-06,1.25E-07
10865.6816,7.46E-06,1.22E-07
10939.9961,7.36E-06,1.19E-07
11014.8174,7.26E-06,1.16E-07
11090.1504,7.16E-06,1.13E-07
11166,7.06E-06,1.10E-07
11242.3682,6.96E-06,1.07E-07
11319.2578,6.87E-06,1.04E-07
11396.6738,6.77E-06,1.02E-07
11474.6191,6.68E-06,9.90E-08
11553.0977,6.59E-06,9.64E-08
11632.1123,6.50E-06,9.39E-08
11711.6689,6.41E-06,9.15E-08
11791.7686,6.32E-06,8.92E-08
11872.416,6.23E-06,8.69E-08
11953.6152,6.15E-06,8.47E-08
12035.3701,6.06E-06,8.25E-08
12117.6836,5.98E-06,8.04E-08
12200.5596,5.90E-06,7.83E-08
12284.0029,5.82E-06,7.63E-08
12368.0176,5.74E-06,7.44E-08
12452.6064,5.66E-06,7.25E-08
12537.7734,5.58E-06,7.06E-08
12623.5225,5.50E-06,6.88E-08
12709.8594,5.43E-06,6.70E-08
12796.7852,5.35E-06,6.53E-08
12884.3066,5.28E-06,6.36E-08
12972.4268,5.21E-06,6.20E-08
13061.1484,5.13E-06,6.04E-08
13150.4785,5.06E-06,5.89E-08
13240.418,4.99E-06,5.74E-08
13330.9736,4.92E-06,5.59E-08
13422.1475,4.86E-06,5.45E-08
13513.9463,4.79E-06,5.31E-08
13606.373,4.72E-06,5.17E-08
13699.4307,4.66E-06,5.04E-08
13793.125,4.59E-06,4.91E-08
13887.4609,4.53E-06,4.78E-08
13982.4414,4.47E-06,4.66E-08
14078.0713,4.40E-06,4.54E-08
14174.3555,4.34E-06,4.43E-08
14271.2988,4.28E-06,4.31E-08
14368.9043,4.22E-06,4.20E-08
14467.1777,4.17E-06,4.10E-08
14566.123,4.11E-06,3.99E-08
14665.7461,4.05E-06,3.89E-08
14766.0498,3.99E-06,3.79E-08
14867.0391,3.94E-06,3.69E-08
14968.7188,3.88E-06,3.60E-08
15071.0947,3.83E-06,3.51E-08
15174.1709,3.77E-06,3.42E-08
15277.9512,3.72E-06,3.33E-08
15382.4414,3.67E-06,3.24E-08
15487.6475,3.62E-06,3.16E-08
15593.5713,3.56E-06,3.08E-08
15700.2207,3.51E-06,3.00E-08
15807.5996,3.46E-06,2.92E-08
15915.7129,3.41E-06,2.85E-08
16024.5645,3.36E-06,2.78E-08
16134.1631,3.31E-06,2.71E-08
16244.5088,3.27E-06,2.64E-08
16355.6104,3.22E-06,2.57E-08
16467.4727,3.17E-06,2.50E-08
16580.0977,3.12E-06,2.44E-08
16693.4922,3.06E-06,2.38E-08
16807.6641,3.01E-06,2.32E-08
16922.6191,2.86E-06,2.26E-08
17038.3574,2.67E-06,3.31E-08
17154.8887,2.86E-06,1.24E-07
17272.2148,2.85E-06,1.21E-07
17390.3457,2.83E-06,1.18E-07
17509.2832,2.80E-06,1.15E-07
17629.0352,2.77E-06,1.13E-07
17749.6055,2.74E-06,1.10E-07
17871,2.71E-06,1.07E-07
17993.2246,2.68E-06,1.05E-07
18116.2871,2.64E-06,1.02E-07
18240.1914,2.61E-06,9.98E-08
18364.9414,2.58E-06,9.74E-08
18490.543,2.55E-06,9.51E-08
18617.0059,2.52E-06,9.28E-08
18744.334,2.48E-06,9.06E-08
18872.5312,2.45E-06,8.84E-08
19001.6074,2.42E-06,8.63E-08
19131.5645,2.39E-06,8.42E-08
19262.4102,2.36E-06,8.22E-08
19394.1543,2.33E-06,8.02E-08
19526.7969,2.30E-06,7.82E-08
19660.3457,2.27E-06,7.63E-08
19794.8086,2.24E-06,7.45E-08
19930.1914,2.21E-06,7.27E-08
20066.5,2.18E-06,7.09E-08
20203.7402,2.15E-06,6.92E-08
20341.9199,2.12E-06,6.75E-08
20481.0449,2.10E-06,6.59E-08
20621.123,2.07E-06,6.43E-08
20762.1562,2.04E-06,6.27E-08
20904.1562,2.02E-06,6.12E-08
21047.125,1.99E-06,5.97E-08
21191.0723,1.96E-06,5.82E-08
21336.0039,1.94E-06,5.68E-08
21481.9277,1.91E-06,5.54E-08
21628.8496,1.89E-06,5.41E-08
21776.7754,1.86E-06,5.27E-08
21925.7148,1.84E-06,5.14E-08
22075.6699,1.81E-06,5.02E-08
22226.6543,1.79E-06,4.89E-08
22378.668,1.76E-06,4.77E-08
22531.7227,1.74E-06,4.66E-08
22685.8262,1.72E-06,4.54E-08
22840.9805,1.69E-06,4.43E-08
22997.1953,1.67E-06,4.32E-08
23154.4824,1.65E-06,4.21E-08
23312.8418,1.63E-06,4.11E-08
23472.2871,1.61E-06,4.01E-08
23632.8203,1.58E-06,3.91E-08
23794.4531,1.56E-06,3.81E-08
23957.1895,1.54E-06,3.72E-08
24121.041,1.52E-06,3.63E-08
24286.0117,1.50E-06,3.54E-08
24452.1094,1.48E-06,3.45E-08
24619.3457,1.46E-06,3.36E-08
24787.7246,1.44E-06,3.28E-08
24957.2559,1.42E-06,3.20E-08
25127.9473,1.40E-06,3.12E-08
25299.8047,1.38E-06,3.04E-08
25472.8379,1.37E-06,2.96E-08
25647.0547,1.35E-06,2.89E-08
25822.4629,1.33E-06,2.82E-08
25999.0703,1.31E-06,2.75E-08
26176.8848,1.29E-06,2.68E-08
26355.918,1.28E-06,2.61E-08
26536.1738,1.26E-06,2.55E-08
26717.6621,1.24E-06,2.48E-08
26900.3945,1.23E-06,2.42E-08
27084.373,1.21E-06,2.36E-08
27269.6113,1.19E-06,2.30E-08
27456.1172,1.18E-06,2.24E-08
27643.8984,1.16E-06,2.19E-08
27832.9648,1.14E-06,2.13E-08
28023.3203,1.13E-06,2.08E-08
28214.9805,1.11E-06,2.03E-08
28407.9531,1.10E-06,1.98E-08
28602.2441,1.08E-06,1.93E-08
28797.8633,1.07E-06,1.88E-08
28994.8223,1.06E-06,1.83E-08
29193.125,1.04E-06,1.79E-08
29392.7852,1.03E-06,1.74E-08
29593.8125,1.01E-06,1.70E-08
29796.2129,9.99E-07,1.65E-08
30000,9.86E-07,1.61E-08